run1_id,run2_id,ari_score,run1_sample,run1_network_method,run1_community_method,run1_param_id,run1_n_communities,run2_sample,run2_network_method,run2_community_method,run2_param_id,run2_n_communities,same_sample,same_network_method,same_community_method,same_param_id,common_outlets,comparison_type
sample_13_dice_walktrap_params_0,sample_16_dice_spectral_clustering_params_3,-0.1063780260707635,sample_13,dice,walktrap,params_0,2,sample_16,dice,spectral_clustering,params_3,5,False,True,False,False,49,diff_method_diff_sample
sample_01_lift_louvain_params_2,sample_03_tfidf_similarity_spectral_clustering_params_6,0.03602371181030552,sample_01,lift,louvain,params_2,2,sample_03,tfidf_similarity,spectral_clustering,params_6,3,False,False,False,False,49,diff_method_diff_sample
sample_14_tfidf_similarity_spectral_clustering_params_9,sample_19_pmi_spectral_clustering_params_4,0.014414430536045023,sample_14,tfidf_similarity,spectral_clustering,params_9,3,sample_19,pmi,spectral_clustering,params_4,6,False,False,True,False,49,diff_method_diff_sample
sample_06_lift_louvain_params_3,sample_06_conditional_probability_louvain_params_1,-0.03375527426160337,sample_06,lift,louvain,params_3,2,sample_06,conditional_probability,louvain,params_1,6,True,False,True,False,49,same_sample_diff_method
sample_07_lift_louvain_params_4,sample_15_jaccard_threshold_components_params_0,0.019706909826729367,sample_07,lift,louvain,params_4,7,sample_15,jaccard,threshold_components,params_0,3,False,False,False,False,49,diff_method_diff_sample
sample_12_cooccurrence_spectral_clustering_params_2,sample_15_conditional_probability_louvain_params_5,0.08207435070446444,sample_12,cooccurrence,spectral_clustering,params_2,4,sample_15,conditional_probability,louvain,params_5,5,False,False,False,False,49,diff_method_diff_sample
sample_02_conditional_probability_walktrap_params_2,sample_10_pmi_spectral_clustering_params_10,-0.0025888696459497582,sample_02,conditional_probability,walktrap,params_2,3,sample_10,pmi,spectral_clustering,params_10,5,False,False,False,False,49,diff_method_diff_sample
sample_18_dice_spectral_clustering_params_5,sample_19_cooccurrence_leiden_params_0,-0.006658751871160894,sample_18,dice,spectral_clustering,params_5,8,sample_19,cooccurrence,leiden,params_0,2,False,False,False,False,49,diff_method_diff_sample
sample_10_jaccard_spectral_clustering_params_7,sample_12_lift_spectral_clustering_params_9,0.30357142857142855,sample_10,jaccard,spectral_clustering,params_7,5,sample_12,lift,spectral_clustering,params_9,3,False,False,True,False,49,diff_method_diff_sample
sample_04_cooccurrence_spectral_clustering_params_6,sample_05_dice_spectral_clustering_params_4,0.08755760368663594,sample_04,cooccurrence,spectral_clustering,params_6,3,sample_05,dice,spectral_clustering,params_4,6,False,False,True,False,49,diff_method_diff_sample
sample_08_jaccard_girvan_newman_params_0,sample_16_jaccard_girvan_newman_params_0,1.0,sample_08,jaccard,girvan_newman,params_0,2,sample_16,jaccard,girvan_newman,params_0,2,False,True,True,True,49,same_method_diff_sample
sample_07_cooccurrence_louvain_params_7,sample_16_conditional_probability_spectral_clustering_params_9,0.14472727272727273,sample_07,cooccurrence,louvain,params_7,21,sample_16,conditional_probability,spectral_clustering,params_9,3,False,False,False,False,49,diff_method_diff_sample
